KA-Nr;Bundesland;Bezirk;Versorgungszone;Versorgungsregion;Bezeichnung;Öffentlichkeitsrecht;Gemeinnützigkeit;Fondszugehörigkeit;Adresse;Telefon, Fax;Homepage;Ärztlicher Leiter;Pflegedienstleiter;Verwaltungsdirektor;Bettenanzahl;Bettenführende Fachrichtungen;Intensivbereiche;Großgeräte;Träger-Nr.;Träger Bezeichnung;Träger-Adresse;Träger Telefon, Fax;Träger Homepage
K318;Niederösterreich;Neunkirchen;Ost;Industrieviertel;Rehabilitationszentrum Hochegg;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Friedrich-Hillegeist-Straße 2, 2840 Grimmenstein;02644/6010, 02644/6010-42214;http://www.ska-hochegg.at;Dr. Michael Gruska;Herta Gritzner;Ing. Gerald Ringhofer, MAS;247;Rehabilitationszentrum (Interne);;ECT;T090;Pensionsversicherungsanstalt Wien;Friedrich-Hillegeist-Straße 1, 1021 Wien Postfach;01/050303, 01/050303-288 50;http://www.pensionsversicherung.at
K319;Niederösterreich;Hollabrunn;Ost;Weinviertel;Landesklinikum Hollabrunn;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Robert Löffler-Straße 20, 2020 Hollabrunn;02952/2275-0, 02952/2275-104;http://www.hollabrunn.lknoe.at;Univ.-Doz. Prim. Dr. Rudolf Kuzmits;DGKS Ingrid Czink;Dipl. KHBW Josef Schneider;223;AN, CH, GEM, GGH, IM, PSY;AN, GEM, IM;CT;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K321;Niederösterreich;Wien-Umgebung;Ost;NÖ Mitte;Landesklinikum Klosterneuburg;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Kreutzergasse 12-14, 3400 Klosterneuburg;02243/9004-0, 02243/9004-406;http://www.kh-klosterneuburg.at;Prim. Dr. Eva-Maria Redl-Wenzl;Dipl. KH-Manager Gabriele Mertz;Ing. Hans Casper;150;AU, CH, GEM, GGH, HNO, IM, UC;GEM;CT;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K326;Niederösterreich;Krems an der Donau;Ost;NÖ Mitte;Landesklinikum Krems;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Mitterweg 10, 3500 Krems an der Donau;02732/804-0, 02732/804-5989;http://www.krems.lknoe.at;Prim. Dr. Heinz Jünger;DGKS Siegrun Karner;DI MBA Franz Laback;467;AN, CH, GEM, GGH, HNO, IM, Inquisitenspital, KI, OR, PUL, UC, URO,;AN, GEM, IM;COR, CT, MR, STR;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K327;Niederösterreich;Krems an der Donau;Ost;NÖ Mitte;Justizanstalt Stein;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Steiner Landstraße 4, 3500 Krems an der Donau;02732/890, 02732/890-502;;Dr. Michael Karner;PDL Johanna Diess;Oberstlt. Roland Wanek;58;GEM;;;T097;Bundesministerium für Justiz, Sektion V/1;Museumstraße 7, 1016 Wien;01/52152-0, 01/52152-2822;http://www.bmj.gv.at
K328;Niederösterreich;Mödling;Ost;Industrieviertel;Rehabilitationszentrum für Bewegungsstörungen und rheumatische Erkrankungen;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Tiergartenstraße 3c, 2381 Laab im Walde;02239/3536, 02239/3536-425;http://www.ska-laabimwalde.at;Dr. Martin Skoumal;PDL Michael Bauch;Akad. KH-Manager Ing. Josef Kreimer;146;Rehabilitationszentrum (Interne);;;T090;Pensionsversicherungsanstalt Wien;Friedrich-Hillegeist-Straße 1, 1021 Wien Postfach;01/050303, 01/050303-288 50;http://www.pensionsversicherung.at
K333;Niederösterreich;Amstetten;Ost;Mostviertel;Landesklinikum Mauer;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Hausmeninger Straße 221, 3362 Mauer-Öhling;07475/501, 07475/501-2800;http://www.mauer.lknoe.at;Prim. Dr. Ingrid Leuteritz;DGKP Josef Leitner;Dipl. KHBW MSc, MBA  Robert Danner;433;GEM, KJP, NEU, PSY,;;CT;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K334;Niederösterreich;Melk;Ost;Mostviertel;Landesklinikum Melk;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Krankenhausstraße 11, 3390 Melk;02752/521 21-0, 02752/521 21-598;http://www.melk.lknoe.at;Prim. Dr. Rupert Strasser;DGKS Doris Roislehner, BSc;Mag.(FH) Peter Hruschka, MA, MAS Akad. KH-Manager ;174;AN, CH, GEM, GGH, IM;AN, GEM;CT;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K335;Niederösterreich;Mistelbach;Ost;Weinviertel;Landesklinikum Mistelbach-Gänserndorf;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Liechtensteinstraße 67, 2130 Mistelbach an der Zaya;02572/3341, 02572/3341-5004;http://www.mistelbach.lknoe.at;Univ.-Doz. Prim. Dr. Otto Traindl;DGKP Josef Strobl;Dipl.KHBW Josef Kober;534;AN, AU, CH, GEM, GGH, HNO, IM, KI, NEU, OR, UC, URO,;AN, GEM, IM, KI;COR, CT, MR;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K338;Niederösterreich;Neunkirchen;Ost;Industrieviertel;Landesklinikum Neunkirchen;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Peischinger Straße 19, 2620 Neunkirchen, Niederösterreich;02635/602, 02635/602-3500;;Prim. Dr. Gerhard Koinig;KH-Man. DGKS Roswitha Stefancic-karger;Dipl. KHBW Johann Ungersböck;358;AN, CH, GEM, GGH, IM, OR, PSY;AN, GEM, IM;CT, MR;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K339;Niederösterreich;Neunkirchen;Ost;Industrieviertel;Sonderkrankenanstalt Gesundheitsresort Raxblick;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Prein/Rax, Oberland 2-4, 2654 Prein an der Rax;02665/241-0, 02665/241-100;http://interface.gesundheit-pflege.at/betriebe.html;Prim. Dr. Peter Melnizky;DGKS Karin Avender;Mag. Thorwald Fastner;152;OR, PUL;;;T350;Gesundheitsresort Raxblick Gesellschaft mbH;Sterneckstraße 33, 5020 Salzburg;;http://interface.gesundheit-pflege.at/betriebe.html
K345;Wien;Sankt Pölten(Land);Ost;NÖ Mitte;Geriatriezentrum der Stadt Wien - St. Andrä;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Marienplatz 1, 3130 Herzogenburg;02782/801-0, 02782/801-1019;http://www.wienkav.at/kav/psa;Dr. Rudolf Soucek;Akad. HCM Anneliese  Schlager;Akad. HCM Anneliese Schlager (interimistisch);172;IM;;;T099;Magistrat der Stadt Wien, Wiener Krankenanstaltenverbund;Thomas Klestil Platz 7/1, 1030 Wien;01/40 409, 01/40 409-9970000;http://www.wienkav.at
K347;Niederösterreich;Scheibbs;Ost;Mostviertel;Landesklinikum Scheibbs;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Eisenwurzenstraße 26, 3270 Scheibbs;07482/404-0, 07482/404-235;http://www.scheibbs.lknoe.at;Prim. Dr. Friedrich Steger;MSc DGKS Christine Köckeis;Dipl. KHBW Mag.  Klaus Watzinger;193;CH, GEM, GGH, IM, OR;GEM;CT;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K352;Niederösterreich;Wien-Umgebung;Ost;NÖ Mitte;Lungenheilstätte Wilhelmshöhe Tullnerbach der Justizanstalt Wien-Josefstadt;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Irenental, 3021 Pressbaum;02233/524 64, 02233/524 64-12;;Prim. Dr. Friedrich Knechtel;Daniela Chatah;HR Dr. Fred Zimmermann;48;PUL;;;T097;Bundesministerium für Justiz, Sektion V/1;Museumstraße 7, 1016 Wien;01/52152-0, 01/52152-2822;http://www.bmj.gv.at
K354;Niederösterreich;Waidhofen an der Ybbs(Stadt);Ost;Mostviertel;Landesklinikum Waidhofen/Ybbs;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Ybbsitzer Straße 112, 3340 Waidhofen an der Ybbs;07442/9004-0, 07442/9004-239;http://www.waidhofen-ybbs.lknoe.at;Univ.-Doz. Mag. Prim. Dr. Klemens Eibenberger;PDL Ilse Lai;Dipl.KH-BW Mag. Martin Kaiser;173;AN, AU, CH, GEM, GGH, IM, UC, URO;AN, GEM;COR, CT;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K355;Niederösterreich;Waidhofen an der Ybbs(Stadt);Ost;Mostviertel;Therapiezentrum Buchenberg;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Hötzendorfstraße 1, 3340 Waidhofen an der Ybbs;07442/522 85, 07442/522 85-2011;;Prim. Dr. Clemens Kaufmann;Brigitta Baumgarten;Erich Mauracher;117;Rehabilitationszentrum (Interne);;;T093;Versicherungsanstalt öffentlich Bediensteter;Josefstädterstraße 80, 1081 Wien Postfach;01/050405-0, 01/050405-21009;http://www.bva.at
K356;Niederösterreich;Wiener Neustadt(Stadt);Ost;Industrieviertel;Landesklinikum Wiener Neustadt;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Matthias Corviniusring 3-5, 2700 Wiener Neustadt;02622/321-0, 02622/321-2277;http://wienerneustadt.lknoe.at;Univ.-Doz. Prim. Dr. Christian Hajek;MAS Dr. Evelyn Fürtinger;Mag. Andreas Gamlich;886;AN, AU, CH, DER, GEM, GGH, HNO, IM, KI, NC, NEU, OR, UC, URO,;AN, GEM, IM, KI;COR, CT, ECT, MR, PET, STR;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K357;Niederösterreich;Melk;Ost;Mostviertel;Therapiezentrum Ybbs;mit Öffentlichkeitsrecht;gemeinnützig;Sonstige;Persenbeuger Straße 1-2, 3370 Ybbs an der Donau;07412/551 00, 07412/551 00-256;http://www.wienkav.at/kav/pky/;Prim. Dr. Kurt Sindermann;PDL Helga Hammer;OAR Dipl. KHBW Gerhard Renner;145;PSY;;;T099;Magistrat der Stadt Wien, Wiener Krankenanstaltenverbund;Thomas Klestil Platz 7/1, 1030 Wien;01/40 409, 01/40 409-9970000;http://www.wienkav.at
K359;Niederösterreich;Baden;Ost;Industrieviertel;Rheumasonderkrankenanstalt Baden der NÖ Gebietskrankenkasse für Arbeiter und Angestellte;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Trostgasse 23, 2500 Baden bei Wien;02252/481 77, 02252/481 77-3680;;Prim. Dr. Ernst Wanger;Herta Michaela Derkits;Horst Bednar;75;IM;;;T071;Niederösterreichische Gebietskrankenkasse für Arbeiter und Angestellte, Abteilung ABC = Ambulatorien, Baumanagement und Controlling;Kremser Landstraße 3, 3100 St. Pölten;02742/899, 02772/899-6581;http://www.noegkk.at
K360;Wien;Wien-Umgebung;Ost;NÖ Mitte;Geriatriezentrum Klosterneuburg;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Martinstraße 28-30, 3400 Klosterneuburg;02243/321 25-0,  02243/321 25-289;http://www.wienkav.at/kav/pkl/;Dr. Carola Streli;PDL Hildegard Menner;PhDr. Hildegard Menner (interimistisch);198;IM;;;T099;Magistrat der Stadt Wien, Wiener Krankenanstaltenverbund;Thomas Klestil Platz 7/1, 1030 Wien;01/40 409, 01/40 409-9970000;http://www.wienkav.at
K361;Niederösterreich;Mödling;Ost;Industrieviertel;Anton Proksch-Institut Stiftung Genesungsheim Kalksburg, Abteilung für Drogenabhängige;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Husarentempelgasse 3, 2340 Mödling;02236/222 96, 02236/447 78;http://www.api.or.at;Univ.-Prof. Prim.  Dr. Michael Musalek;DGKS Marie Zauner;DSA Gabriele Gottwald-Nathaniel;51;PSY;;;T910;API Betriebs gemeinnützige Gesellschaft mbH;Landstraßer Hauptstraße 1/2, 1030 Wien;;http://www.api.or.at
K363;Niederösterreich;Baden;Ost;Industrieviertel;Klinikum Malcherhof Baden - Rehabilitation. Rheuma. Orthopädie;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Adolfine-Malcher-Gasse 1, 2500 Baden bei Wien;02252/895 11-0, 02252/895 11-300;http://www.klinikum-malcherhof.at;Prim. Dr. Gabriele Eberl;PDDir. Christine Mitterecker;Hans Schortje;173;IM;;;T348;Rheumasonderkrankenanstalt Baden Betriebsgesellschaft mbH;Adolfine Malcher Straße 1, 2500 Baden bei Wien;;
K364;Niederösterreich;Neunkirchen;Ost;Industrieviertel;Diätgenesungsheim Karl Hiesmayr, Breitenstein;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Hauptstraße 69, 2673 Breitenstein am Semmering;02664/2273, 02274/2273-55;;Prim. Dr. Konrad Orel;DGKS Karin Horvath;Wolfgang Jeitler;106;Genesungsheim;;;T095;Versicherungsanstalt für Eisenbahnen und Bergbau;Linke Wienzeile 48-52, 1060 Wien;01/58848, 01/58848-485;
K365;Niederösterreich;Zwettl;Ost;Waldviertel;Sonderkrankenanstalt für Herz- und Kreislauferkrankungen Groß Gerungs;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Kreuzberg 310, 3920 Groß Gerungs;02812/8681-0, 02812/8681-300;http://www.herz-kreislauf.at;Univ.-Doz. Dr. Sebastian Globits;DGKS Michaela Böhm;Fritz Weber;223;Rehabilitationszentrum (Interne);;;T335;Kurbad Groß Gerungs Gesellschaft mbH & Co KG;Am Kreuzberg 310, 3920 Groß Gerungs;02812/8681-0, 02812/8681-300;http://www.herz-kreislauf.at
K369;Niederösterreich;Wien-Umgebung;Ost;NÖ Mitte;Rehabilitationszentrum 'Weißer Hof' Klosterneuburg;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Holzgasse 350, 3400 Klosterneuburg;02243/241 50, 02243/241 50-1109;http://www.auva.at/rzweisserhof;Dr. Karin Gstaltner;DGKS Brigitta Haslauer-Grosskopf;Ing. Josef Scheffl;200;Rehabilitationszentrum (Chirurgie);;;T081;Allgemeine Unfallversicherungsanstalt, Medizinische Direktion;Adalbert-Stifter-Straße 65, 1200 Wien;01/33111;http://www.auva.at
K370;Niederösterreich;Gmünd;Ost;Waldviertel;Sonderkrankenanstalt Moorheilbad Harbach;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;3970 Weitra;02858/5255-0, 02858/5255-1605;http://www.moorheilbad-harbach.at;Prim. Dr. Johannes Püspök;Elisabeth Raab;Karin Weiszenböck;210;OR;;;T336;Moorheilbad Harbach Gesellschaft mbH & Co KG;3970 Weitra;02858/5255-0, 02858/5255-1605;http://www.moorheilbad-harbach.at
K371;Niederösterreich;Baden;Ost;Industrieviertel;Rehabilitationszentrum Alland;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;2534 Alland;02258/2630-0, 02258/2630-160;http://www.ska-alland.at;Univ.-Prof. Prim. Dr. Mario Francesconi;PDL Karl Hermann Greiml;Ing. Günter Schinagl;146;Rehabilitationszentrum (Interne);;;T090;Pensionsversicherungsanstalt Wien;Friedrich-Hillegeist-Straße 1, 1021 Wien Postfach;01/050303, 01/050303-288 50;http://www.pensionsversicherung.at
K375;Niederösterreich;Gänserndorf;Ost;Weinviertel;Klinik Pirawarth, Kur- und Rehabilitationszentrum;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Kurhausstraße 100, 2222 Bad Pirawarth;02574/291 60, 02574/291 60-60;http://www.klinik-pirawarth.at;Prim. Dr. Andreas Winkler;Heike Schiffer-Scheck;Hans Günther Loher;321;NEU, OR;;;T338;Kurhotel Bad Pirawarth Gesellschaft mbH & Co KG;Kurhausstraße 100, 2222 Bad Pirawarth;02574/29160, 02574/29160-60;http://www.klinik-pirawarth.at
K376;Niederösterreich;Waidhofen an der Ybbs(Stadt);Ost;Mostviertel;Sonderkrankenanstalt für die Nachbehandlung von Schlaganfallpatienten in der Heilanstalt Buchenberg;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Hötzendorfstraße 1, 3340 Waidhofen an der Ybbs;07442/522 85-2066, 07442/522 85-2099;;Prim. Dr. Clemens Kaufmann;Brigitta Baumgarten;Erich Mauracher;38;Rehabilitationszentrum (Interne);;;T093;Versicherungsanstalt öffentlich Bediensteter;Josefstädterstraße 80, 1081 Wien Postfach;01/050405-0, 01/050405-21009;http://www.bva.at
K377;Niederösterreich;Horn;Ost;Waldviertel;Landesklinikum Horn-Allentsteig;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Spitalgasse 10, 3580 Horn, Niederösterreich;02982/2661-0, 02982/2661-3600;http://www.horn.lknoe.at;Univ.-Prof. Prim. Dr. Paul Bratusch-Marrain;PDL Angelika Kroitzsch;Mag. Franz Huber;365;AN, AU, CH, GGH, IM, NEU, UC,;AN, IM;CT, ECT, MR;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K378;Niederösterreich;Korneuburg;Ost;Weinviertel;Landesklinikum Korneuburg-Stockerau;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Lenaustraße 1, 2000 Stockerau;02262/780-0, 02262/780-5410;;Prim. Dr. Wolfgang Hintringer;KH-Manager DGKP Erich Glaser;Dipl. KHBW Anton Hörth;311;AN, CH, GEM, GGH, IM, UC, URO;AN, GEM;CT;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K379;Niederösterreich;Tulln;Ost;NÖ Mitte;Landesklinikum Tulln;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Alter Ziegelweg 10, 3430 Tulln an der Donau;02272/601, 02272/601-7444;http://www.tulln.lknoe.at/;Prim. Univ.-Prof. Dr. Peter Lechner;DGKS Ilse Kreidl;Dipl. KHBW Beatrix Moreno-Huerta;438;AN, CH, GEM, GGH, IM, KI, KJP, NEU, PSY, UC,;AN, GEM, IM, KI;CT, MR;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K380;Niederösterreich;Mödling;Ost;Industrieviertel;Landesklinikum Baden-Mödling;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;SR. M. Restituta-Gasse 12, 2340 Mödling;02236/204, 02236/204-111;http://www.baden.lknoe.at/;Univ.-Doz. Prim. Dr. Johann Pidlich;DGKS Margit Wukitsevits;Dipl. KHBW Reinhard Fritz;737;AN, CH, GGH, IM, KI, KJP, PSY, UC, URO,;AN, IM, KI;COR, CT, MR;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K381;Niederösterreich;Neunkirchen;Ost;Industrieviertel;Sonderkrankenanstalt Marienhof;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Ausschlag-Zöbern 3-5, 2870 Aspang;02642/52430, 02642/52430-40;;Dr. Leonidas Lemonis;Dr. Leonidas Lemonis;Dr. Alfred Rohrhofer;80;PSY;;;T341;Grüner Kreis - Verein für Rehabilitation und Integration suchtkranker Personen;Mönichkirchen 25, 2872 Mönichkirchen;02642/52430-0, 02642/52430-40;http://www.gruenerkreis.at
K382;Niederösterreich;Sankt Pölten (Stadt);Ost;NÖ Mitte;Landesklinikum St. Pölten-Lilienfeld;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Propst-Führer-Straße 4, 3100 St. Pölten;02742/300, 02742/300-2248;http://www.stpoelten.lknoe.at/;Dr. Thomas Gamsjäger;MSc MAS Maria Aichinger;Mag.Dr. Bernhard Kadlec;1175;AN, AU, CH, DER, GEM, GGH, HNO, IM, KI, MKG, NC, NEU, OR, PCH, UC, URO,;AN, GEM, IM, KI;COR, CT, ECT, MR, PET;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K383;Niederösterreich;Zwettl;Ost;Waldviertel;Landesklinikum Zwettl-Gmünd-Waidhofen/Thaya;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Propstei 5, 3910 Zwettl, Niederösterreich;02822/504-0, 02822/504-8008;http://www.zwettl.lknoe.at;Prim. Univ.-Doz. Dr. Manfred Weissinger;DGKP Robert Eberl;Mag. Franz Huber;664;AN, CH, GEM, GGH, IM, KI, OR, PSY, URO;AN, GEM, IM, KI;CT;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K384;Niederösterreich;Horn;Ost;Waldviertel;Psychosomatisches Zentrum Waldviertel Eggenburg;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Grafenbergerstraße 2, 3730 Eggenburg;02984/20228-0, 02984/20228-30699;http://www.pszw.at;Prim. DDr. Dipl. Psych. Andreas Remmel;DGKP Robert Vogler;DKHBW Karl Busta;100;IM;;;T343;Psychosomatrisches Zentrum Eggenburg Gesellschaft mbH;Grafenbergerstraße 2, 3730 Eggenburg;02984/20228-0, 02984/20228-30699;http://www.pszw.at
K385;Niederösterreich;Zwettl;Ost;Waldviertel;Sonderkrankenanstalt Ottenschlag;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Xundheitsstraße 1, 3631 Ottenschlag, Niederösterreich;02858/5255-1650, 02858/5255-1605;http://www.xundheitswelt.at;Prim. Dr. Johannes Püspöck;Jürgen Friedl;Karin Weiszenböck;123;IM, PSY;;;T344;Lebens.Ressort und Gesundheitszentrum Gesellschaft mbH;Xundheitsstraße 1, 3631 Ottenschlag, Niederösterreich;;
K386;Niederösterreich;Baden;Ost;Industrieviertel;Rehabilitationszentrum Engelsbad;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Weilburgstraße 7-9, 2500 Baden bei Wien;02252/845 71-0, 02252/845 71-81888;http://www.bva.at;Dr. Alexander Fellmann-Bauer;Elisabeth Jaros;Ingrid Heyer;124;OR;;;T093;Versicherungsanstalt öffentlich Bediensteter;Josefstädterstraße 80, 1081 Wien Postfach;01/050405-0, 01/050405-21009;http://www.bva.at
K387;Niederösterreich;Mödling;Ost;Industrieviertel;Waldsanatorium Perchtoldsdorf;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Sonnberggasse 93, 2380 Perchtoldsdorf;;http://interface.gesundheit-pflege.at/betriebe.html;Dr. Klaus Machold;Mag. Christoph Aichmayer;Anton Sauer;170;OR;;;T347;Waldsanatorium Perchtoldsdorf Betriebsgesellschaft mbH;Sterneckstraße 33, 5020 Salzburg;;http://interface.gesundheit-pflege.at/betriebe.html
K388;Niederösterreich;Krems an der Donau;Ost;NÖ Mitte;Sonderkrankenanstalt für Psychiatrie Krems-Hollenburg;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Krustettenerstraße 25, 3506 Krems-Hollenburg;;http://www.sanlas.at;Prim. DI Dr. Werner Brosch;;Mag. Beatrix Kohlbauer;150;PSY;;;T349;Privatklinik Krems-Hollenburg Gesellschaft mbH;Parkstraße 11, 8010 Graz;;
K405;Oberösterreich;Braunau am Inn;Nord;Innviertel;Krankenhaus 'St. Josef'  Braunau am Inn;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Ringstraße 60, 5280 Braunau am Inn;07722/804-0, 07722/804-11;http://www.khbr.at;Prim. Dr. Johann Schöppl;DGKS Sandra Kaufmann;Dipl. KHBW Erwin Windischbauer;387;AN, AU, CH, GGH, HNO, IM, KI, PSY, UC, URO;AN, IM, KI;CT;T402;A.ö. Krankenhaus St. Josef Braunau Gesellschaft mbH;Salzburgerstraße 18, 4840 Vöcklabruck;07672/72667, 07672/72667-133;http://www.franziskanerinnen.at
K408;Oberösterreich;Freistadt;Nord;Mühlviertel;Landeskrankenhaus Freistadt;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Krankenhausstraße 1, 4240 Freistadt, Oberösterreich;050 554/76-0, 050 554 /76-1014;http://www.lkh-freistadt.at;Prof. Prim. Dr. Josef Hofer;MSc Brigitte Neumüller;Dipl. KHBW Rudolf Wagner;165;CH, GEM, GGH, IM, PSY, UC;GEM;CT;T401;Oö. Gesundheits- und Spitals AG;Goethestraße 89, 4020 Linz, Donau;050 554/60, 050 554/60-40140;http://www.gespag.at
K414;Oberösterreich;Linz-Land;Nord;OÖ Zentralraum Linz;Sanitätsanstalt Hörsching des Militärkommandos Oberösterreich;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Fliegerhorst Vogler, 4063 Hörsching;07221/700, 07221/700-1725;;Dr. Andreas Kaltenbacher;Michael Harrucksteiner;StWM Wolfgang Jany;47;CH, IM;;;T098;BM für Landesverteidigung, Kommando Einsatzunterstützung, Abt. Militärisches Gesundheitswesen;Schwenkgasse 47, 1120 Wien;01/05020110-27741, 01/05020110-17559;http://www.bmlv.gv.at
K415;Oberösterreich;Kirchdorf an der Krems;Nord;Pyhrn-Eisenwurzen;Landeskrankenhaus Kirchdorf an der Krems;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Hausmanninger Straße 8, 4560 Kirchdorf an der Krems;050 554/67-0, 050 554/67-1014;http://www.lkh-kirchdorf.at;Prim. Dr. Oswald Schubert;Mag. Msc KH-Man. Horst Konrad;Mag. Rudolf Gruber;239;CH, GEM, GGH, IM, KI, OR, UC;GEM;CT;T401;Oö. Gesundheits- und Spitals AG;Goethestraße 89, 4020 Linz, Donau;050 554/60, 050 554/60-40140;http://www.gespag.at
